Relay,Code,ISP,Nips,Version,Price,Link,Events/h,Ping
dev.freerelay.xyz,CA,"Cloudflare, Inc.","[1,2,4,9,11,20,22,28,40,70]",0.9.6-40-gc0227e1,,,2,621ms.
dev.nostrplayground.com,US,"DigitalOcean, LLC","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,20,580ms.
directory.yabu.me,JP,The Constant Company,"[1,2,4,9,11,20,22,28,40,70]",0.9.7,,,0,879ms.
dm.patrickulrich.com,CA,"Cloudflare, Inc.","[1,11,42,70,86]",khatru,,,0,⛔
dtonon.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,2,391ms.
dwebcamp.nos.social,US,"DigitalOcean, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,2,463ms.
e.nos.lol,DE,Hetzner Online GmbH,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,500,182ms.
fabian.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,407ms.
feeds.nostr.band,FI,Hetzner Online GmbH,"[1,11,12,15,20,33,45,50]",0.4,,,0,305ms.
fiatjaf.com,DE,Contabo GmbH,[],khatru,,,0,219ms.
fiatjaf.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,383ms.
filter.nostr.wine,CA,"Cloudflare, Inc.","[1,2,4,9,11,40,42,50,59,65,94]",1.5,10000000,link,0,643ms.
fl.purplerelay.com,DE,Amazon Technologies Inc.,"[1,2,4,9,11,12,16,20,22,28,33,40]",v403-cc86272,,,413,218ms.
freedomhub1.reelnetwork.eu,FI,Hetzner Online GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,9,360ms.
freelay.sovbit.host,IS,The 1984 ehf,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-26-gc0dec7c,,,21,714ms.
freerelay.xyz,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,,,0,619ms.
freespeech.casa,CA,"Cloudflare, Inc.","[1,11,42,70,86,9]",khatru-pyramid,,,500,516ms.
frens.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,15,392ms.
frens.utxo.one,CA,"Cloudflare, Inc.","[1,11,42,70,86]",khatru,,,0,526ms.
frjosh.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,673ms.
